kind	address	name	ghidra_type	array_size	description
MEAS	0x00404558	VaPHSO_Pct_DebrisClearing[CePHSI_e_IntakeCamTwo]	float	1	VaPHSO_Pct_DebrisClearing[CePHSI_e_IntakeCamTwo]
MEAS	0x0040455C	VaPHSO_Pct_DebrisClearing[CePHSI_e_ExhaustCamTwo]	float	1	VaPHSO_Pct_DebrisClearing[CePHSI_e_ExhaustCamTwo]
MEAS	0x00404560	VaPHSO_Cnt_CyclesComplete[CePHSI_e_IntakeCamOne]	word	1	VaPHSO_Cnt_CyclesComplete[CePHSI_e_IntakeCamOne]
MEAS	0x00404562	VaPHSO_Cnt_CyclesComplete[CePHSI_e_ExhaustCamOne]	word	1	VaPHSO_Cnt_CyclesComplete[CePHSI_e_ExhaustCamOne]
MEAS	0x00404564	VaPHSO_Cnt_CyclesComplete[CePHSI_e_IntakeCamTwo]	word	1	VaPHSO_Cnt_CyclesComplete[CePHSI_e_IntakeCamTwo]
MEAS	0x00404566	VaPHSO_Cnt_CyclesComplete[CePHSI_e_ExhaustCamTwo]	word	1	VaPHSO_Cnt_CyclesComplete[CePHSI_e_ExhaustCamTwo]
MEAS	0x00404568	VaPHSO_b_DebrisClearing[CePHSI_e_IntakeCamOne]	byte	1	VaPHSO_b_DebrisClearing[CePHSI_e_IntakeCamOne]
MEAS	0x00404569	VaPHSO_b_DebrisClearing[CePHSI_e_ExhaustCamOne]	byte	1	VaPHSO_b_DebrisClearing[CePHSI_e_ExhaustCamOne]
MEAS	0x0040456A	VaPHSO_b_DebrisClearing[CePHSI_e_IntakeCamTwo]	byte	1	VaPHSO_b_DebrisClearing[CePHSI_e_IntakeCamTwo]
MEAS	0x0040456B	VaPHSO_b_DebrisClearing[CePHSI_e_ExhaustCamTwo]	byte	1	VaPHSO_b_DebrisClearing[CePHSI_e_ExhaustCamTwo]
MEAS	0x0040456C	VaPHSO_b_PhaserStuck[CePHSI_e_IntakeCamOne]	byte	1	VaPHSO_b_PhaserStuck[CePHSI_e_IntakeCamOne]
MEAS	0x0040456D	VaPHSO_b_PhaserStuck[CePHSI_e_ExhaustCamOne]	byte	1	VaPHSO_b_PhaserStuck[CePHSI_e_ExhaustCamOne]
MEAS	0x0040456E	VaPHSO_b_PhaserStuck[CePHSI_e_IntakeCamTwo]	byte	1	VaPHSO_b_PhaserStuck[CePHSI_e_IntakeCamTwo]
MEAS	0x0040456F	VaPHSO_b_PhaserStuck[CePHSI_e_ExhaustCamTwo]	byte	1	VaPHSO_b_PhaserStuck[CePHSI_e_ExhaustCamTwo]
MEAS	0x00404570	VaPHSO_b_EnCorrCycComplete[CePHSI_e_IntakeCamOne]	byte	1	VaPHSO_b_EnCorrCycComplete[CePHSI_e_IntakeCamOne]
MEAS	0x00404571	VaPHSO_b_EnCorrCycComplete[CePHSI_e_ExhaustCamOne]	byte	1	VaPHSO_b_EnCorrCycComplete[CePHSI_e_ExhaustCamOne]
MEAS	0x00404572	VaPHSO_b_EnCorrCycComplete[CePHSI_e_IntakeCamTwo]	byte	1	VaPHSO_b_EnCorrCycComplete[CePHSI_e_IntakeCamTwo]
MEAS	0x00404573	VaPHSO_b_EnCorrCycComplete[CePHSI_e_ExhaustCamTwo]	byte	1	VaPHSO_b_EnCorrCycComplete[CePHSI_e_ExhaustCamTwo]
MEAS	0x00404574	VaPHSO_Pct_DebrisClearingLow[CePHSI_e_IntakeCamOne]	float	1	VaPHSO_Pct_DebrisClearingLow[CePHSI_e_IntakeCamOne]
MEAS	0x00404578	VaPHSO_Pct_DebrisClearingLow[CePHSI_e_ExhaustCamOne]	float	1	VaPHSO_Pct_DebrisClearingLow[CePHSI_e_ExhaustCamOne]
MEAS	0x0040457C	VaPHSO_Pct_DebrisClearingLow[CePHSI_e_IntakeCamTwo]	float	1	VaPHSO_Pct_DebrisClearingLow[CePHSI_e_IntakeCamTwo]
MEAS	0x00404580	VaPHSO_Pct_DebrisClearingLow[CePHSI_e_ExhaustCamTwo]	float	1	VaPHSO_Pct_DebrisClearingLow[CePHSI_e_ExhaustCamTwo]
MEAS	0x00404584	VaPHSO_Pct_DebrisClearingHi[CePHSI_e_IntakeCamOne]	float	1	VaPHSO_Pct_DebrisClearingHi[CePHSI_e_IntakeCamOne]
MEAS	0x00404588	VaPHSO_Pct_DebrisClearingHi[CePHSI_e_ExhaustCamOne]	float	1	VaPHSO_Pct_DebrisClearingHi[CePHSI_e_ExhaustCamOne]
MEAS	0x0040458C	VaPHSO_Pct_DebrisClearingHi[CePHSI_e_IntakeCamTwo]	float	1	VaPHSO_Pct_DebrisClearingHi[CePHSI_e_IntakeCamTwo]
MEAS	0x00404590	VaPHSO_Pct_DebrisClearingHi[CePHSI_e_ExhaustCamTwo]	float	1	VaPHSO_Pct_DebrisClearingHi[CePHSI_e_ExhaustCamTwo]
MEAS	0x00404594	VaPHSO_t_LowTimeCyclerPrd[CePHSI_e_IntakeCamOne]	word	1	VaPHSO_t_LowTimeCyclerPrd[CePHSI_e_IntakeCamOne]
MEAS	0x00404596	VaPHSO_t_LowTimeCyclerPrd[CePHSI_e_ExhaustCamOne]	word	1	VaPHSO_t_LowTimeCyclerPrd[CePHSI_e_ExhaustCamOne]
MEAS	0x00404598	VaPHSO_t_LowTimeCyclerPrd[CePHSI_e_IntakeCamTwo]	word	1	VaPHSO_t_LowTimeCyclerPrd[CePHSI_e_IntakeCamTwo]
MEAS	0x0040459A	VaPHSO_t_LowTimeCyclerPrd[CePHSI_e_ExhaustCamTwo]	word	1	VaPHSO_t_LowTimeCyclerPrd[CePHSI_e_ExhaustCamTwo]
MEAS	0x0040459C	VaPHSO_t_HiTimeCyclerPrd[CePHSI_e_IntakeCamOne]	word	1	VaPHSO_t_HiTimeCyclerPrd[CePHSI_e_IntakeCamOne]
MEAS	0x0040459E	VaPHSO_t_HiTimeCyclerPrd[CePHSI_e_ExhaustCamOne]	word	1	VaPHSO_t_HiTimeCyclerPrd[CePHSI_e_ExhaustCamOne]
MEAS	0x004045A0	VaPHSO_t_HiTimeCyclerPrd[CePHSI_e_IntakeCamTwo]	word	1	VaPHSO_t_HiTimeCyclerPrd[CePHSI_e_IntakeCamTwo]
MEAS	0x004045A2	VaPHSO_t_HiTimeCyclerPrd[CePHSI_e_ExhaustCamTwo]	word	1	VaPHSO_t_HiTimeCyclerPrd[CePHSI_e_ExhaustCamTwo]
MEAS	0x004045A4	VePLCC_b_SignalValidity	byte	1	VePLCC_b_SignalValidity
MEAS	0x004045A5	VePLCC_b_SignalFailed	byte	1	VePLCC_b_SignalFailed
MEAS	0x004045A6	VePLCC_e_TorqReqIntvType	sword	1	VePLCC_e_TorqReqIntvType
MEAS	0x004045A8	VePLCC_e_TorqReqMethod	sword	1	VePLCC_e_TorqReqMethod
MEAS	0x004045AA	VePLCC_M_TorqReqValue	sword	1	VePLCC_M_TorqReqValue
MEAS	0x004045AC	VePLCC_n_EngSpdReqValue	word	1	VePLCC_n_EngSpdReqValue
MEAS	0x004045AE	VePLCC_e_EngSpdReqIntvType	sword	1	VePLCC_e_EngSpdReqIntvType
MEAS	0x004045B0	VePLCC_e_EngSpdReqRespType	sword	1	VePLCC_e_EngSpdReqRespType
MEAS	0x004045B2	VePLCC_e_TorqRangeStatus	sword	1	VePLCC_e_TorqRangeStatus
MEAS	0x004045B4	VePLCC_e_SpdRangeStatus	sword	1	VePLCC_e_SpdRangeStatus
MEAS	0x004045B6	VePLCC_e_TorqRqstStatus	sword	1	VePLCC_e_TorqRqstStatus
MEAS	0x004045B8	VePLCC_e_SpdRqstStatus	sword	1	VePLCC_e_SpdRqstStatus
MEAS	0x004045BA	VePLCC_b_IAC_SysRPM_TFTKO	byte	1	VePLCC_b_IAC_SysRPM_TFTKO
MEAS	0x004045BC	VePLCC_t_DecrTorqLimit	word	1	VePLCC_t_DecrTorqLimit
MEAS	0x004045BE	VePLCC_b_FeedbackValid	byte	1	VePLCC_b_FeedbackValid
MEAS	0x004045BF	VePLCD_b_ClearCodes_EOT	byte	1	VePLCD_b_ClearCodes_EOT
MEAS	0x004045C0	VePLCN_b_TestPassMin	byte	1	VePLCN_b_TestPassMin
MEAS	0x004045C2	VePLCN_Cnt_TestPassMin	word	1	VePLCN_Cnt_TestPassMin
MEAS	0x004045C4	VePLCN_Cnt_TorqProtectErrorSum	word	1	VePLCN_Cnt_TorqProtectErrorSum
MEAS	0x004045C6	VePLCN_Cnt_AliveErrReqSum	word	1	VePLCN_Cnt_AliveErrReqSum
MEAS	0x004045C8	VePLCN_b_CommFailed	byte	1	VePLCN_b_CommFailed
MEAS	0x004045CA	VePLCN_t_TorqProtectErrFrz	word	1	VePLCN_t_TorqProtectErrFrz
MEAS	0x004045CC	VePLCN_t_SpdProtectErrFrz	word	1	VePLCN_t_SpdProtectErrFrz
MEAS	0x004045CE	VePLCN_b_TorqReqFP	byte	1	VePLCN_b_TorqReqFP
MEAS	0x004045CF	VePLCN_b_SpdReqFP	byte	1	VePLCN_b_SpdReqFP
MEAS	0x004045D0	VePLCN_b_RxMsgDiagEnbld	byte	1	VePLCN_b_RxMsgDiagEnbld
MEAS	0x004045D2	VePLCN_Cnt_SpdProtectErrorSum	word	1	VePLCN_Cnt_SpdProtectErrorSum
MEAS	0x004045D4	VePLCN_e_TorqReqIntvType	sword	1	VePLCN_e_TorqReqIntvType
MEAS	0x004045D6	VePLCN_e_TorqReqMethod	sword	1	VePLCN_e_TorqReqMethod
MEAS	0x004045D8	VePLCN_M_TorqReqValue	sword	1	VePLCN_M_TorqReqValue
